var_name,var_label
uid,UID. Unique respondent ID
sample,Sample. Sample type
gender,Gender. Gender
age_2,Age_2. Age groups
dwelling,Dwelling. Dwelling type
industry,Industry. Current industry
social_involve_1,"Social_involve. Participation in any social groups - Sports related groups (e.g. soccer, running, badminton etc)"
social_involve_2,"Social_involve. Participation in any social groups - Arts and Cultural groups (e.g. dance groups, book club, band etc)"
social_involve_3,Social_involve. Participation in any social groups - Community groups (e.g. resident community etc)
social_involve_4,Social_involve. Participation in any social groups - Welfare & Self-Help groups (e.g. non-profit organisations)
social_involve_5,Social_involve. Participation in any social groups - Religious groups
social_involve_6,Social_involve. Participation in any social groups - Interest & Hobby groups
volunteerdonate_1,VolunteerDonate. Participation in any volunteering/donating - Volunteered time at community centers / resident communities / places of worship / other charitable organisations
volunteerdonate_2,VolunteerDonate. Participation in any volunteering/donating - Donated money to charitable causes
volunteerdonate_3,"VolunteerDonate. Participation in any volunteering/donating - Donated goods / services to charitable causes (e.g. food, toy)"
volunteerdonate_4,"VolunteerDonate. Participation in any volunteering/donating - Volunteered time for community projects initiated by friends, family, neighbours"
volunteerdonate_7,VolunteerDonate. Participation in any volunteering/donating - Helped a neighbor or others in my community who were in need
snetwork_ethnicity,Snetwork_Ethnicity. Have close friends of different ethnicity
snetwork_nationality,Snetwork_Nationality. Have close friends of different nationality
snetwork_religion,Snetwork_Religion. Have close friends of different religion
snetwork_income,Snetwork_Income. Have close friends of different income
snetwork_education,Snetwork_Education. Have close friends of different education
snetwork_sorientation,Snetwork_Sorientation. Have close friends of different sexual orientation
close_sg_friends,Close_SG_friends. Have close SGan friends
support_immedfam,Support_immedfam. Perceived support received from immediate family
support_extfam,Support_extfam. Perceived support received from extended family
support_worksch,Support_worksch. Perceived support received from workplace/school
support_friends,Support_friends. Perceived support received from friends
outcome_connection,Outcome_Connection. Strength of connection to SG
outcome_future,Outcome_Future. Strength of desire to be a part of shaping SG's future
online_news,Online_news. Check news / stay updated on current affairs
online_sm,Online_SM. Check Facebook / Twitter / Instagram etc.
online_areasinterest,Online_areasinterest. Look for information on areas of interest
online_sharemedia,"Online_sharemedia. Share videos, photos"
marital_stats,Marital_stats. Current marital status
children,Children. Have children
age_youngestchild,Age_youngestchild. Age of youngest child
hh_grandparents,HH_grandparents. Currently live with grandparents/(in-law)
hh_parents,HH_parents. Currently live with parents/(in-law)
hh_siblings,HH_siblings. Currently live with siblings/(in-law)
hh_spouse,HH_spouse. Currently live with spouse
hh_children,HH_children. Currently live with children
hh_relatives,HH_relatives. Currently live with other relatives
hh_helper,HH_helper. Currently live with domestic helper
hh_mates,HH_mates. Currently live with friends / housemates / tenants / Landlord
hh_employer_their_family,HH_mates. Currently live with Employer and their family
hh_grandchildren,HH_mates. Currently live with Grand children
hh_other,HH_mates. Currently live with Other
hh_none,HH_mates. None of the above - I stay alone
highest_ed,Highest_ed. Highest attained education level
institution_deg,Institution_deg. Conferring institution for deg/post-grad deg
occupation,Occupation. Current occupation
mhi,MHI. Monthly household income
mpi,MPI. Monthly personal income
pillarbeh_1,Pillarbeh_1. I usually behave in a considerate manner in public settings
pillarbeh_2,Pillarbeh_2. I regularly help / look out for my close friends and family
pillarbeh_3,"Pillarbeh_3. I regularly help / look out for my wider network (e.g. colleagues, neighbours, etc.)"
pillarbeh_4,"Pillarbeh_4. I regularly donate to causes or people in need (monetary, clothes, food, giving blood, etc.)"
pillarbeh_5,Pillarbeh_5. I regularly volunteer for causes or people in need
pillarbeh_6,Pillarbeh_6. I offer help to others without being asked
pillarbeh_7,Pillarbeh_7. I make an effort to give constructive feedback on national policies and issues
pillarbeh_8,Pillarbeh_8. I lead and/or mobilise others for causes and issues that matter to me
pillarbeh_9,Pillarbeh_9. I regularly take part in community initiatives or grassroots activities
pillarbeh_10,Pillarbeh_10. I make a conscious effort to get along with people from different cultures or nationalities
